"Item_Number","Set_Name","Theme","Pieces","Price","Amazon_Price","Year","Ages","Pages","Minifigures","Packaging","Weight","Unique_Pieces","Availability","Size","price","amazon_price"
75241,"Action Battle Echo Base Defence","Star Wars™",504,"$59.99","$48.00",2019,"Ages_8+",112,5,"Box",NA,192,"Retail","Small",59.99,48
30620,"Star-Stuck Emmet",NA,41,NA,NA,2019,"Ages_6+",3,1,"Polybag",NA,29,"Promotional",NA,NA,NA
42114,"6x6 Volvo Articulated Hauler","Technic™",2193,"$249.99","$249.99",2020,"Ages_11+",456,NA,"Box",NA,234,"Retail","Small",249.99,249.99
31093,"Riverside Houseboat","Creator 3-in-1",396,"$39.99","$39.98",2019,"Ages_7+",200,2,"Box","0.67Kg (1.48 lb)",157,"Retail","Small",39.99,39.98
11001,"Bricks and Ideas","Classic",123,"$9.99","$9.97",2019,"Ages_4+",42,NA,NA,"0.17Kg (0.37 lb)",59,NA,"Small",9.99,9.97
42074,"Racing Yacht","Technic™",330,"$39.99","$75.99",2018,"Ages_8-14",156,NA,NA,"0.61Kg (1.34 lb)",83,NA,"Small",39.99,75.99
10265,"Ford Mustang","Creator Expert",1471,"$149.99","$149.99",2019,"Ages_16+",212,NA,"Box",NA,358,"LEGO exclusive","Small",149.99,149.99
75215,"Cloud-Rider Swoop Bikes","Star Wars™",355,"$29.99","$44.69",2018,"Ages_8-14",92,3,"Box","0.37Kg (0.81 lb)",148,NA,"Small",29.99,44.69
71367,"Mario's House & Yoshi","LEGO® Super Mario™",205,"$29.99",NA,2020,"Ages_6+",NA,2,"Box",NA,114,"Retail","Small",29.99,NA
2000455,"FIRST LEGO League Jr. promotional set",NA,NA,NA,NA,2019,"Ages_NA",NA,NA,"Polybag",NA,9,"Not sold",NA,NA,NA
41908,"Extra Dots - Series 1","DOTS",109,"$3.99","$3.99",2020,"Ages_6+",NA,NA,"Foil pack",NA,6,"Retail","Small",3.99,3.99
75271,"Luke Skywalker's Landspeeder","Star Wars™",236,"$29.99","$29.93",2020,"Ages_7+",72,3,"Box",NA,104,NA,"Small",29.99,29.93
75953,"Hogwarts Whomping Willow","Harry Potter™",753,"$69.99","$55.99",2018,"Ages_8-14",148,6,"Box","1.1Kg (2.42 lb)",253,"Retail","Small",69.99,55.99
31100,"Sports Car","Creator 3-in-1",134,"$9.99","$9.84",2020,"Ages_6+",120,NA,"Box",NA,60,"Retail","Small",9.99,9.84
60173,"Mountain Arrest","City",303,"$59.99","$82.99",2018,"Ages_5-12",136,4,"Box","0.76Kg (1.67 lb)",168,"Retail","Small",59.99,82.99
31197,"Andy Warhol's Marilyn Monroe","LEGO® Art",3341,"$119.99","$119.95",2020,"Ages_18+",NA,NA,"Box",NA,27,"LEGO exclusive","Small",119.99,119.95
70436,"Phantom Fire Truck 3000","Hidden Side",760,"$59.99","$59.99",2020,"Ages_9+",148,6,"Box",NA,263,"Retail","Small",59.99,59.99
60252,"Construction Bulldozer","City",126,"$19.99","$15.99",2020,"Ages_4+",84,2,"Box","0.35Kg (0.78 lb)",81,"Retail","Small",19.99,15.99
42090,"Getaway Truck","Technic™",128,"$19.99","$19.99",2019,"Ages_7+",110,NA,"Box","0.31Kg (0.68 lb)",33,"Retail","Small",19.99,19.99
41607,"Gamora","BrickHeadz",136,"$9.99","$12.98",2018,"Ages_10+",48,NA,"Box",NA,51,"Retail","Small",9.99,12.98
70837,"Shimmer & Shine Sparkle Spa!","THE LEGO® MOVIE 2™",694,"$69.99","$45.49",2019,"Ages_7+",128,8,"Box",NA,209,"Retail","Small",69.99,45.49
70821,"Emmet and Benny's 'Build and Fix' Workshop!","THE LEGO® MOVIE 2™",117,"$19.99","$19.98",2019,"Ages_4+",48,2,"Box","0.34Kg (0.75 lb)",73,"Retail","Small",19.99,19.98
41907,"Desk Organiser","DOTS",405,"$19.99","$19.95",2020,"Ages_6+",4,NA,"Plastic canister",NA,44,"Retail","Small",19.99,19.95
41392,"Nature Glamping","Friends",241,"$29.99","$26.99",2020,"Ages_6+",72,2,"Box",NA,110,"Retail","Small",29.99,26.99
41343,"Heartlake City Airplane Tour","Friends",323,NA,NA,2018,"Ages_6-12",100,1,"Box",NA,176,"Retail","Small",NA,NA
41914,"Creative Picture Frames","DOTS",398,"$19.99",NA,2020,"Ages_6+",2,NA,NA,NA,31,"Retail","Small",19.99,NA
75973,"D.Va & Reinhardt","Overwatch®",455,"$39.99","$45.17",2019,"Ages_10+",108,2,"Box","0.59Kg (1.3 lb)",161,"Retail","Small",39.99,45.17
88005,"Headlight Set","Powered UP",1,"$9.99",NA,2018,"Ages_7+",NA,NA,"Polybag","0.01Kg (0.03 lb)",NA,"LEGO exclusive","Small",9.99,NA
70682,"Spinjitzu Slam - Jay","NINJAGO®",72,"$9.99","$14.43",2019,"Ages_7+",44,1,"Box",NA,37,"Retail","Small",9.99,14.43
41160,"Ariel's Castle","Disney™",115,"$24.99","$47.00",2019,"Ages_4+",56,1,NA,"0.31Kg (0.68 lb)",74,NA,"Small",24.99,47
40370,"LEGO® Trains 40th Anniversary Set",NA,188,"$19.99",NA,2020,"Ages_9+",52,1,"Box","0.33Kg (0.72 lb)",73,"LEGO exclusive",NA,19.99,NA
60252,"Construction Bulldozer","City",126,"$19.99","$15.99",2020,"Ages_4+",84,2,"Box","0.35Kg (0.78 lb)",81,"Retail","Small",19.99,15.99
75263,"Resistance Y-wing Microfighter","Star Wars™",86,"$9.99","$8.99",2020,"Ages_6+",40,1,"Box",NA,44,"Retail","Small",9.99,8.99
10756,"Pteranodon Escape","Juniors",84,"$19.99","$25.99",2018,"Ages_4-7",56,2,"Box","0.27Kg (0.59 lb)",60,"Retail","Small",19.99,25.99
30572,"Race Car",NA,68,NA,NA,2019,"Ages_NA",3,NA,"Polybag",NA,31,NA,NA,NA,NA
75938,"T. rex vs Dino-Mech Battle","Jurassic World™",716,"$89.99","$89.95",2019,"Ages_8+",176,4,"Box",NA,254,"Retail","Small",89.99,89.95
10908,"Plane","DUPLO®",12,"$9.99","$23.27",2019,"Ages_2+",10,1,"Box",NA,11,"Retail","Large",9.99,23.27
70671,"Lloyd's Journey","NINJAGO®",81,"$14.99","$19.94",2019,"Ages_6+",36,2,"Box",NA,50,"Retail","Small",14.99,19.94
21144,"The Farm Cottage","Minecraft™",549,"$49.99","$199.95",2018,"Ages_8+",116,3,"Box",NA,157,"Retail","Small",49.99,199.95
40299,"Kessel Mine Worker",NA,22,NA,NA,2018,"Ages_6+",3,1,"Polybag",NA,16,NA,NA,NA,NA
60212,"Barbecue Burn Out","City",64,"$9.99","$8.99",2019,"Ages_4+",28,2,"Box","0.13Kg (0.29 lb)",45,"Retail","Small",9.99,8.99
41414,"Emma's Summer Play Cube",NA,NA,NA,NA,2020,"Ages_NA",NA,NA,NA,NA,45,NA,NA,NA,NA
30620,"Star-Stuck Emmet",NA,41,NA,NA,2019,"Ages_6+",3,1,"Polybag",NA,29,"Promotional",NA,NA,NA
21141,"The Zombie Cave","Minecraft™",241,"$19.99","$16.82",2018,"Ages_7-14",84,3,"Box","0.39Kg (0.86 lb)",88,"Retail","Small",19.99,16.82
41345,"Heartlake City Pet Centre","Friends",474,"$59.99","$159.99",2018,"Ages_6-12",108,3,"Box","0.99Kg (2.18 lb)",234,"Retail","Small",59.99,159.99
71371,"Propeller Mario Power-Up Pack","LEGO® Super Mario™",13,"$9.99",NA,2020,"Ages_6+",NA,NA,"Box",NA,11,"Retail","Small",9.99,NA
70427,"Welcome to the Hidden Side","Hidden Side",189,"$19.99","$15.99",2020,"Ages_7+",68,4,"Box",NA,103,"Retail","Small",19.99,15.99
41393,"Baking Competition","Friends",361,"$39.99","$35.99",2020,"Ages_6+",104,3,"Box",NA,157,"Retail","Small",39.99,35.99
76148,"Spider-Man vs. Doc Ock","Marvel",234,"$19.99","$19.95",2020,"Ages_6+",72,3,"Box",NA,80,"Retail","Small",19.99,19.95
41398,"Stephanie's House","Friends",170,"$39.99",NA,2020,"Ages_4+",92,3,"Box",NA,116,"Retail","Small",39.99,NA
70823,"Emmet's Thricycle!","THE LEGO® MOVIE 2™",174,"$14.99","$16.00",2019,"Ages_7+",84,1,"Box","0.25Kg (0.55 lb)",100,"Retail","Small",14.99,16
70677,"Land Bounty","NINJAGO®",1178,"$129.99","$116.83",2019,"Ages_9+",252,9,"Box",NA,400,"Retail","Small",129.99,116.83
10894,"Toy Story Train","Disney™",21,"$19.99","$15.99",2019,"Ages_2+",8,2,"Box",NA,19,"Retail","Small",19.99,15.99
30393,"Steve and Creeper Set",NA,36,NA,NA,2019,"Ages_NA",3,2,"Polybag",NA,30,NA,NA,NA,NA
30542,"Cute Pug","Creator 3-in-1",68,"$3.99",NA,2018,"Ages_6-12",28,NA,"Polybag",NA,32,"Retail - limited","Small",3.99,NA
41599,"Wonder Woman","BrickHeadz",143,"$9.99",NA,2018,"Ages_10+",40,NA,"Box",NA,54,"Retail","Small",9.99,NA
41432,"Alpaca Mountain Jungle Rescue","Friends",512,"$59.99",NA,2020,"Ages_7+",208,2,"Box",NA,270,"Retail","Small",59.99,NA
2000455,"FIRST LEGO League Jr. promotional set",NA,NA,NA,NA,2019,"Ages_NA",NA,NA,"Polybag",NA,9,"Not sold",NA,NA,NA
75229,"Death Star Escape","Star Wars™",329,"$29.99","$53.75",2019,"Ages_7+",84,4,"Box","0.44Kg (0.97 lb)",110,"Retail","Small",29.99,53.75
10907,"World Animals","DUPLO®",121,"$99.99","$95.65",2019,"Ages_2+",48,6,"Box",NA,75,"Retail","Large",99.99,95.65
30555,"Poppy's Carriage","Trolls World Tour",51,"$4.99",NA,2020,"Ages_6+",3,1,"Polybag",NA,30,"Retail - limited","Small",4.99,NA
21041,"Great Wall of China","Architecture",551,"$49.99","$82.59",2018,"Ages_12+",112,NA,"Box","0.81Kg (1.78 lb)",81,"Retail - limited","Small",49.99,82.59
10894,"Toy Story Train","Disney™",21,"$19.99","$15.99",2019,"Ages_2+",8,2,"Box",NA,19,"Retail","Small",19.99,15.99
70918,"The Bat-Dune Buggy","DC",198,"$19.99","$37.89",2018,"Ages_7-14",64,2,"Box",NA,92,"Retail","Small",19.99,37.89
70646,"Jay - Dragon Master","NINJAGO®",92,"$14.99","$22.00",2018,"Ages_8-14",48,1,"Box",NA,53,"Retail","Small",14.99,22
10894,"Toy Story Train","Disney™",21,"$19.99","$15.99",2019,"Ages_2+",8,2,"Box",NA,19,"Retail","Small",19.99,15.99
41383,"Olivia's Hamster Playground","Friends",81,"$9.99","$19.94",2019,"Ages_6+",40,1,NA,"0.1Kg (0.22 lb)",52,NA,"Small",9.99,19.94
75221,"Imperial Landing Craft","Star Wars™",636,"$89.99","$172.89",2018,"Ages_9-14",108,5,"Box","1.17Kg (2.58 lb)",191,"Retail","Small",89.99,172.89
10868,"Farm Pony Stable","DUPLO®",59,"$29.99","$83.94",2018,"Ages_2-5",25,2,"Box",NA,31,NA,"Large",29.99,83.94
10907,"World Animals","DUPLO®",121,"$99.99","$95.65",2019,"Ages_2+",48,6,"Box",NA,75,"Retail","Large",99.99,95.65
30329,"My First Giraffe",NA,5,NA,NA,2020,"Ages_NA",3,NA,"Polybag",NA,4,NA,NA,NA,NA
41628,"Princess Leia Organa","Star Wars™",124,NA,NA,2018,"Ages_10+",88,NA,"Box",NA,48,"Retail","Small",NA,NA
41345,"Heartlake City Pet Centre","Friends",474,"$59.99","$159.99",2018,"Ages_6-12",108,3,"Box","0.99Kg (2.18 lb)",234,"Retail","Small",59.99,159.99
71021,"Elephant Girl","Minifigures",7,NA,NA,2018,"Ages_5+",20,1,"Foil pack",NA,NA,"Retail","Small",NA,NA
10915,"Alphabet Truck","DUPLO®",36,"$24.99","$21.99",2020,"Ages_1½+",1,2,"Box",NA,35,"Retail","Large",24.99,21.99
75942,"Velociraptor: Biplane Rescue Mission","Jurassic World™",101,"$29.99","$29.95",2020,"Ages_4+",76,2,"Box",NA,72,"Retail","Small",29.99,29.95
21322,"Pirates of Barracuda Bay","Ideas",2545,"$199.99","$199.99",2020,"Ages_16+",460,10,"Box","4.43Kg (9.76 lb)",575,"Retail - limited","Small",199.99,199.99
75930,"Indoraptor Rampage at Lockwood Estate","Jurassic World™",1019,"$129.99","$206.05",2018,"Ages_8-12",176,6,"Box","1.89Kg (4.16 lb)",257,"Retail","Small",129.99,206.05
10897,"My First Minnie Build","Disney™",10,"$9.99","$8.99",2019,"Ages_1½+",10,NA,"Box","0.25Kg (0.55 lb)",9,"Retail","Small",9.99,8.99
70674,"Fire Fang","NINJAGO®",463,"$39.99","$32.00",2019,"Ages_8+",88,4,"Box",NA,175,"Retail","Small",39.99,32
42083,"Bugatti Chiron","Technic™",3599,"$349.99","$339.95",2018,"Ages_16+",633,NA,"Box","5.92Kg (13.04 lb)",306,"Retail","Small",349.99,339.95
71043,"Hogwarts Castle","Harry Potter™",6020,"$399.99","$399.99",2018,"Ages_16+",636,28,"Box",NA,624,"LEGO exclusive","Small",399.99,399.99
21047,"Las Vegas","Architecture",501,"$39.99","$49.99",2018,"Ages_12+",108,NA,"Box",NA,123,"Retail","Small",39.99,49.99
21315,"Pop-Up Book","Ideas",859,"$69.99","$88.95",2018,"Ages_12+",164,5,"Box",NA,211,"Retail","Small",69.99,88.95
40313,"Bicycles","Xtra",21,"$3.99",NA,2018,"Ages_6+",NA,NA,"Polybag","0.01Kg (0.03 lb)",13,"LEGO exclusive","Small",3.99,NA
41168,"Elsa's Jewellery Box","LEGO® Frozen 2",300,"$39.99","$31.99",2019,"Ages_6+",96,1,"Box",NA,89,"Retail","Small",39.99,31.99
40293,"Christmas Carousel",NA,251,"$14.99",NA,2018,"Ages_7+",48,NA,"Box",NA,73,"Promotional",NA,14.99,NA
31076,"Daredevil Stunt Plane","Creator 3-in-1",200,"$19.99","$35.00",2018,"Ages_7-12",120,1,"Box",NA,86,"Retail","Small",19.99,35
75292,"The Razor Crest","Star Wars™",1023,"$129.99","$129.99",2020,"Ages_10+",NA,2,"Box",NA,277,"Retail","Small",129.99,129.99
41360,"Emma's Mobile Veterinary Clinic","Friends",50,"$9.99","$8.99",2019,"Ages_4+",28,1,NA,"0.1Kg (0.22 lb)",35,NA,"Small",9.99,8.99
71705,"Destiny's Bounty","NINJAGO®",1781,"$129.99",NA,2020,"Ages_9+",316,7,"Box",NA,479,"Retail","Small",129.99,NA
88007,"Distance Sensor","Powered UP",1,"$13.99",NA,2019,"Ages_7+",NA,NA,NA,NA,1,NA,"Small",13.99,NA
11010,"White Baseplate","Classic",1,"$7.99","$7.86",2020,"Ages_4+",1,NA,"Shrink-wrapped",NA,1,"Retail","Small",7.99,7.86
75946,"Hungarian Horntail Triwizard Challenge","Harry Potter™",265,"$29.99","$23.99",2019,"Ages_8+",52,4,"Box",NA,101,"Retail","Small",29.99,23.99
4000034,"LEGO System House",NA,NA,NA,NA,2019,"Ages_NA",NA,NA,"Box",NA,NA,"Not sold",NA,NA,NA
41607,"Gamora","BrickHeadz",136,"$9.99","$12.98",2018,"Ages_10+",48,NA,"Box",NA,51,"Retail","Small",9.99,12.98
60171,"Mountain Fugitives","City",88,"$9.99","$16.49",2018,"Ages_5-12",36,4,"Box",NA,61,"Retail","Small",9.99,16.49
80101,"Chinese New Year's Eve Dinner",NA,615,NA,NA,2019,"Ages_8+",128,6,"Box",NA,167,"Retail - limited",NA,NA,NA
30366,"Police Car",NA,37,NA,NA,2020,"Ages_5+",3,1,"Polybag","0.03Kg (0.07 lb)",23,"Retail - limited",NA,NA,NA
70826,"Rex's Rex-treme Offroader!","THE LEGO® MOVIE 2™",236,"$29.99","$16.99",2019,"Ages_7+",132,2,"Box","0.44Kg (0.97 lb)",109,"Retail","Small",29.99,16.99
30357,"Road Worker","City",58,"$3.99",NA,2018,"Ages_5-12",3,1,"Polybag","0.04Kg (0.08 lb)",33,"Retail - limited","Small",3.99,NA
70841,"Benny's Space Squad","THE LEGO® MOVIE 2™",68,"$9.99","$19.88",2019,"Ages_5+",32,5,"Box","0.09Kg (0.2 lb)",53,"Retail","Small",9.99,19.88
60201,"City Advent Calendar","City",313,"$29.99","$33.99",2018,"Ages_5-12",4,6,"Box","0.43Kg (0.94 lb)",194,"Retail","Small",29.99,33.99
30536,"Combo Charger",NA,NA,NA,NA,2020,"Ages_NA",3,NA,"Polybag",NA,35,NA,NA,NA,NA
76098,"Speed Force Freeze Pursuit","DC",271,"$29.99","$119.95",2018,"Ages_6-12",80,4,"Box","0.46Kg (1 lb)",138,"Retail","Small",29.99,119.95
75199,"General Grievous' Combat Speeder","Star Wars™",157,"$29.99","$74.90",2018,"Ages_7-12",60,2,"Box","0.3Kg (0.66 lb)",76,"Retail","Small",29.99,74.9
10922,"Ariel's Undersea Castle","Disney™",35,"$29.99",NA,2020,"Ages_2+",20,1,"Box",NA,27,"Retail","Small",29.99,NA
75976,"Wrecking Ball","Overwatch®",227,"$19.99","$19.99",2019,"Ages_9+",84,1,"Box",NA,78,"Retail","Small",19.99,19.99
40198,"LEGO Ludo Game",NA,389,NA,NA,2018,"Ages_7+",64,8,"Box","0.75Kg (1.66 lb)",114,"LEGO exclusive",NA,NA,NA
60268,"City Advent Calendar","City",342,"$29.99",NA,2020,"Ages_5+",NA,NA,"Box",NA,183,"Retail","Small",29.99,NA
75272,"Sith TIE Fighter","Star Wars™",470,"$79.99","$79.95",2020,"Ages_9+",104,3,"Box",NA,127,"Retail","Small",79.99,79.95
76095,"Black Manta Strike","DC",235,NA,NA,2018,"Ages_7-12",72,3,"Box",NA,105,NA,"Small",NA,NA
70642,"Killow vs. Samurai X","NINJAGO®",556,"$49.99","$159.98",2018,"Ages_8-14",128,3,"Box",NA,220,"Retail","Small",49.99,159.98
30325,"My First Dinosaur","DUPLO®",7,"$3.49",NA,2018,"Ages_1½-3",7,NA,"Polybag",NA,6,NA,"Large",3.49,NA
42102,"Mini CLAAS XERION","Technic™",130,"$12.99","$12.99",2020,"Ages_7+",56,NA,"Box",NA,45,"Retail","Small",12.99,12.99
75199,"General Grievous' Combat Speeder","Star Wars™",157,"$29.99","$74.90",2018,"Ages_7-12",60,2,"Box","0.3Kg (0.66 lb)",76,"Retail","Small",29.99,74.9
30385,"Super Mushroom Surprise",NA,18,"$4.99",NA,2020,"Ages_6+",NA,NA,"Polybag",NA,15,"Retail - limited",NA,4.99,NA
41153,"Ariel's Royal Celebration Boat","Disney™",380,"$49.99","$82.75",2018,"Ages_6-12",108,2,"Box","0.65Kg (1.43 lb)",156,"Retail","Small",49.99,82.75
41394,"Heartlake City Hospital","Friends",379,"$49.99","$48.53",2020,"Ages_6+",132,3,"Box",NA,154,"Retail","Small",49.99,48.53
41414,"Emma's Summer Play Cube",NA,NA,NA,NA,2020,"Ages_NA",NA,NA,NA,NA,45,NA,NA,NA,NA
31095,"Fairground Carousel","Creator 3-in-1",595,"$49.99","$40.00",2019,"Ages_8+",236,3,"Box",NA,223,"Retail","Small",49.99,40
80102,"Dragon Dance",NA,622,NA,NA,2019,"Ages_9+",80,5,"Box",NA,109,"Retail - limited",NA,NA,NA
30571,"Pelican",NA,62,NA,NA,2019,"Ages_6+",3,NA,"Polybag","0.04Kg (0.08 lb)",33,"Retail - limited",NA,NA,NA
41619,"Darth Vader","Star Wars™",104,"$9.99","$48.98",2018,"Ages_10+",40,NA,"Box",NA,41,"Retail","Small",9.99,48.98
